ref_im,dist_type_1,dist_type_2
121-cc-774921.png,23,
19-199047.png,7,
2016-1447856.png,4,
2016-1447950.png,3,
2016-1483462.png,25,
25-april-bridge-349137.png,25,
3d-anaglyph-738967.png,4,
4-leaves-1039818.png,7,
400500-1333884.png,21,
400500-1343636.png,1,
400500-1402826.png,20,
400500-1402827.png,18,
400500-1470887.png,21,
6-1238605.png,22,
a-10-thunderbolt-1708096.png,21,
a-1582554.png,5,
a-bluish-purple-flower-754106.png,24,
a-cake-1174970.png,18,
a-cake-1595876.png,1,
a-canal-boat-1538583.png,13,
a-canal-boat-1538584.png,12,
a-cat-789470.png,15,
a-cup-of-1544658.png,16,
a-cup-of-coffee-399478.png,14,
a-delicacy-322722.png,21,
a-drop-of-1741479.png,22,
a-drop-of-187904.png,9,
a-drop-of-189194.png,21,
a-female-deer-600141.png,16,
a-fleshy-plant-1464418.png,7,8
a-fleshy-plant-1465051.png,22,
a-fleshy-plant-734913.png,7,
a-flower-of-a-parsley-878817.png,18,
a-flower-of-the-field-326419.png,17,
a-girl-in-a-long-dress-1373890.png,4,
a-guarda-1007499.png,9,
a-guarda-116962.png,23,
a-jetty-610152.png,9,
a-lot-1168213.png,5,
a-lot-of-red-1487394.png,9,
a-m-1119158.png,19,
a-m-1119161.png,14,
a-nice-way-1059889.png,7,8
a-pint-1174214.png,22,
a-rainy-day-636089.png,12,
a-sandwich-1377346.png,17,
a-sandwich-1377347.png,15,
a-sandwich-640810.png,18,
a-smile-333604.png,11,
a-spiders-web-1576667.png,15,
a-spiders-web-1576668.png,10,
a-surname-1594126.png,9,
a-toast-1719436.png,22,
a-tree-1737390.png,14,
a380-1010801.png,7,
aa-1056221.png,23,
aa-1238718.png,25,
aachen-1137799.png,14,
aachen-1253645.png,3,
aachen-438371.png,25,
aachen-674197.png,1,
aachen-90603.png,23,
aak-238674.png,3,
aalto-theatre-228663.png,12,
aargau-83384.png,7,
aarti-687348.png,5,
abacus-239097.png,4,
abandon-76304.png,4,
abandoned-1550547.png,13,
abandoned-1596853.png,2,
abandoned-1619600.png,4,
abandoned-2340.png,6,
abandoned-523604.png,13,
abandoned-801830.png,18,
abandoned-factory-1513009.png,12,
abandoned-factory-1513194.png,12,
abandoned-factory-1513200.png,9,
abandoned-house-1234401.png,13,
abandoned-place-1682774.png,7,8
abbaye-de-senanque-1460355.png,5,
abbaye-de-senanque-1469724.png,14,
