path,blur,under,over,night,dist_type,dist_level,ref
ExDark\Bicycle\2015_00001.png,0,0,0,1,0,0,ExDark\Bicycle\2015_00001.png
ExDark\Bicycle\2015_00002.png,0,0,0,1,0,0,ExDark\Bicycle\2015_00002.png
ExDark\Bicycle\2015_00003.png,0,1,0,1,0,0,ExDark\Bicycle\2015_00003.png
ExDark\Bicycle\2015_00004.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00004.jpg
ExDark\Bicycle\2015_00005.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00005.jpg
ExDark\Bicycle\2015_00006.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00006.jpg
ExDark\Bicycle\2015_00007.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00007.jpg
ExDark\Bicycle\2015_00008.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00008.jpg
ExDark\Bicycle\2015_00009.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00009.jpg
ExDark\Bicycle\2015_00010.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00010.jpg
ExDark\Bicycle\2015_00011.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00011.jpg
ExDark\Bicycle\2015_00012.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00012.jpg
ExDark\Bicycle\2015_00013.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00013.jpg
ExDark\Bicycle\2015_00014.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00014.jpg
ExDark\Bicycle\2015_00015.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00015.jpg
ExDark\Bicycle\2015_00016.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00016.jpg
ExDark\Bicycle\2015_00017.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00017.jpg
ExDark\Bicycle\2015_00018.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00018.jpg
ExDark\Bicycle\2015_00019.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00019.jpg
ExDark\Bicycle\2015_00020.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00020.jpg
ExDark\Bicycle\2015_00021.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00021.jpg
ExDark\Bicycle\2015_00022.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00022.jpg
ExDark\Bicycle\2015_00023.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00023.jpg
ExDark\Bicycle\2015_00024.JPG,0,1,0,1,0,0,ExDark\Bicycle\2015_00024.JPG
ExDark\Bicycle\2015_00025.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00025.jpg
ExDark\Bicycle\2015_00026.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00026.jpg
ExDark\Bicycle\2015_00027.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00027.jpg
ExDark\Bicycle\2015_00028.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00028.jpg
ExDark\Bicycle\2015_00029.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00029.jpg
ExDark\Bicycle\2015_00030.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00030.jpg
ExDark\Bicycle\2015_00031.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00031.jpg
ExDark\Bicycle\2015_00032.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00032.jpg
ExDark\Bicycle\2015_00033.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00033.jpg
ExDark\Bicycle\2015_00034.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00034.jpg
ExDark\Bicycle\2015_00035.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00035.jpg
ExDark\Bicycle\2015_00036.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00036.jpg
ExDark\Bicycle\2015_00037.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00037.jpg
ExDark\Bicycle\2015_00038.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00038.jpg
ExDark\Bicycle\2015_00039.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00039.jpg
ExDark\Bicycle\2015_00040.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00040.jpg
ExDark\Bicycle\2015_00041.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00041.jpg
ExDark\Bicycle\2015_00042.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00042.jpg
ExDark\Bicycle\2015_00043.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00043.jpg
ExDark\Bicycle\2015_00044.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00044.jpg
ExDark\Bicycle\2015_00045.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00045.jpg
ExDark\Bicycle\2015_00046.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00046.jpg
ExDark\Bicycle\2015_00047.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00047.jpg
ExDark\Bicycle\2015_00048.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00048.jpg
ExDark\Bicycle\2015_00049.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00049.jpg
ExDark\Bicycle\2015_00050.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00050.jpg
ExDark\Bicycle\2015_00051.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00051.jpg
ExDark\Bicycle\2015_00052.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00052.jpg
ExDark\Bicycle\2015_00053.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00053.jpg
ExDark\Bicycle\2015_00054.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00054.jpg
ExDark\Bicycle\2015_00055.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00055.jpg
ExDark\Bicycle\2015_00056.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00056.jpg
ExDark\Bicycle\2015_00057.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00057.jpg
ExDark\Bicycle\2015_00058.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00058.jpg
ExDark\Bicycle\2015_00059.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00059.jpg
ExDark\Bicycle\2015_00060.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00060.jpg
ExDark\Bicycle\2015_00061.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00061.jpg
ExDark\Bicycle\2015_00062.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00062.jpg
ExDark\Bicycle\2015_00063.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00063.jpg
ExDark\Bicycle\2015_00064.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00064.jpg
ExDark\Bicycle\2015_00065.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00065.jpg
ExDark\Bicycle\2015_00066.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00066.jpg
ExDark\Bicycle\2015_00067.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00067.jpg
ExDark\Bicycle\2015_00068.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00068.jpg
ExDark\Bicycle\2015_00069.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00069.jpg
ExDark\Bicycle\2015_00070.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00070.jpg
ExDark\Bicycle\2015_00071.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00071.jpg
ExDark\Bicycle\2015_00072.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00072.jpg
ExDark\Bicycle\2015_00073.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00073.jpg
ExDark\Bicycle\2015_00074.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00074.jpg
ExDark\Bicycle\2015_00075.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00075.jpg
ExDark\Bicycle\2015_00076.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00076.jpg
ExDark\Bicycle\2015_00077.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00077.jpg
ExDark\Bicycle\2015_00078.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00078.jpg
ExDark\Bicycle\2015_00079.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00079.jpg
ExDark\Bicycle\2015_00080.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00080.jpg
ExDark\Bicycle\2015_00081.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00081.jpg
ExDark\Bicycle\2015_00082.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00082.jpg
ExDark\Bicycle\2015_00083.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00083.jpg
ExDark\Bicycle\2015_00084.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00084.jpg
ExDark\Bicycle\2015_00085.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00085.jpg
ExDark\Bicycle\2015_00086.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00086.jpg
ExDark\Bicycle\2015_00087.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00087.jpg
ExDark\Bicycle\2015_00088.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00088.jpg
ExDark\Bicycle\2015_00089.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00089.jpg
ExDark\Bicycle\2015_00090.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00090.jpg
ExDark\Bicycle\2015_00091.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00091.jpg
ExDark\Bicycle\2015_00092.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00092.jpg
ExDark\Bicycle\2015_00093.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00093.jpg
ExDark\Bicycle\2015_00094.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00094.jpg
ExDark\Bicycle\2015_00095.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00095.jpg
ExDark\Bicycle\2015_00096.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00096.jpg
ExDark\Bicycle\2015_00097.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00097.jpg
ExDark\Bicycle\2015_00098.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00098.jpg
ExDark\Bicycle\2015_00099.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00099.jpg
ExDark\Bicycle\2015_00100.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00100.jpg
ExDark\Bicycle\2015_00101.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00101.jpg
ExDark\Bicycle\2015_00102.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00102.jpg
ExDark\Bicycle\2015_00103.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00103.jpg
ExDark\Bicycle\2015_00104.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00104.jpg
ExDark\Bicycle\2015_00105.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00105.jpg
ExDark\Bicycle\2015_00106.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00106.jpg
ExDark\Bicycle\2015_00107.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00107.jpg
ExDark\Bicycle\2015_00108.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00108.jpg
ExDark\Bicycle\2015_00109.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00109.jpg
ExDark\Bicycle\2015_00110.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00110.jpg
ExDark\Bicycle\2015_00111.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00111.jpg
ExDark\Bicycle\2015_00112.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00112.jpg
ExDark\Bicycle\2015_00113.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00113.jpg
ExDark\Bicycle\2015_00114.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00114.jpg
ExDark\Bicycle\2015_00115.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00115.jpg
ExDark\Bicycle\2015_00116.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00116.jpg
ExDark\Bicycle\2015_00117.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00117.jpg
ExDark\Bicycle\2015_00118.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00118.jpg
ExDark\Bicycle\2015_00119.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00119.jpg
ExDark\Bicycle\2015_00120.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00120.jpg
ExDark\Bicycle\2015_00121.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00121.jpg
ExDark\Bicycle\2015_00122.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00122.jpg
ExDark\Bicycle\2015_00123.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00123.jpg
ExDark\Bicycle\2015_00124.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00124.jpg
ExDark\Bicycle\2015_00125.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00125.jpg
ExDark\Bicycle\2015_00126.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00126.jpg
ExDark\Bicycle\2015_00127.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00127.jpg
ExDark\Bicycle\2015_00128.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00128.jpg
ExDark\Bicycle\2015_00129.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00129.jpg
